{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':2.2694480175782399e+01, 'y':0.0000000000000000e+00, 'z':0.0000000000000000e+00, 'p1':-2.8551579309220456e-04, 'p2':2.2510739735550561e-01, 'p3':-1.0641423116780697e-04, 'S1x':4.4444444444444444e-03, 'S1y':-8.8888888888888906e-03, 'S1z':-1.3333333333333334e-02, 'S2x':4.4444444444444444e-03, 'S2y':-5.5555555555555558e-03, 'S2z':6.6666666666666671e-03,'Hreal':9.9528727008298645e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':2.2694202707955604e+01, 'y':8.7031918398621469e-02, 'z':1.0165530208455188e-07, 'p1':-1.1487926903080200e-03, 'p2':2.2510531927213848e-01, 'p3':-1.0614671514704562e-04, 'S1x':4.4454102931726506e-03, 'S1y':-8.8883987644665669e-03, 'S1z':-1.3333338089380585e-02, 'S2x':4.4455366055595538e-03, 'S2y':-5.5546909840941657e-03, 'S2z':6.6666588899474046e-03,'Hreal':9.9528725007974228e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':2.2691170167635502e+01, 'y':3.5982530309634264e-01, 'z':1.7270324257765023e-06, 'p1':-3.8547121635594088e-03, 'p2':2.2507735171794260e-01, 'p3':-1.0531799289650963e-04, 'S1x':4.4484373942494035e-03, 'S1y':-8.8868619838203076e-03, 'S1z':-1.3333352868146714e-02, 'S2x':4.4489592602085480e-03, 'S2y':-5.5519791367405194e-03, 'S2z':6.6666346503512809e-03,'Hreal':9.9528718737467681e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':2.2659005701361128e+01, 'y':1.2398999842055238e+00, 'z':2.0126696737565662e-05, 'p1':-1.2585047405491172e-02, 'p2':2.2476510263264438e-01, 'p3':-1.0274794493272312e-04, 'S1x':4.4582052200912575e-03, 'S1y':-8.8818963510572616e-03, 'S1z':-1.3333399165298014e-02, 'S2x':4.4599998332196297e-03, 'S2y':-5.5432062029428944e-03, 'S2z':6.6665579480266754e-03,'Hreal':9.9528698491433165e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':2.2566954171747380e+01, 'y':2.3737904163680428e+00, 'z':7.2030152057365830e-05, 'p1':-2.3834609873413428e-02, 'p2':2.2386066972481758e-01, 'p3':-9.9680088832122032e-05, 'S1x':4.4708137428119852e-03, 'S1y':-8.8754717704126341e-03, 'S1z':-1.3333455486340887e-02, 'S2x':4.4742420169517766e-03, 'S2y':-5.5318314535402636e-03, 'S2z':6.6664628956010453e-03,'Hreal':9.9528672330204215e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':2.2396727797365273e+01, 'y':3.6353165292693999e+00, 'z':1.6451158949503519e-04, 'p1':-3.6352304751304840e-02, 'p2':2.2218149760372655e-01, 'p3':-9.6609698175780328e-05, 'S1x':4.4849102541547094e-03, 'S1y':-8.8682699847731396e-03, 'S1z':-1.3333513316672759e-02, 'S2x':4.4901505735029405e-03, 'S2y':-5.5190471832282841e-03, 'S2z':6.6663629072851423e-03,'Hreal':9.9528643046902177e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':2.2134743824728428e+01, 'y':4.9802759751020265e+00, 'z':3.0010632331299505e-04, 'p1':-4.9700029160673322e-02, 'p2':2.1959227327431000e-01, 'p3':-9.3763729467108602e-05, 'S1x':4.5000708932065306e-03, 'S1y':-8.8605031178623835e-03, 'S1z':-1.3333568777000530e-02, 'S2x':4.5072401081983357e-03, 'S2y':-5.5052192011526661e-03, 'S2z':6.6662640623784911e-03,'Hreal':9.9528611514535215e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':2.1769334926713643e+01, 'y':6.3845602427832349e+00, 'z':4.7858613846438490e-04, 'p1':-6.3638915675791496e-02, 'p2':2.1597678201427373e-01, 'p3':-9.1302394948990207e-05, 'S1x':4.5161122218993462e-03, 'S1y':-8.8522619464732489e-03, 'S1z':-1.3333619115107713e-02, 'S2x':4.5252961501138561e-03, 'S2y':-5.4905000415693675e-03, 'S2z':6.6661707480632918e-03,'Hreal':9.9528578109963195e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':2.1293795355925582e+01, 'y':7.8200986694455592e+00, 'z':6.9570627159491749e-04, 'p1':-7.7890634458969973e-02, 'p2':2.1126796521815058e-01, 'p3':-8.9374883279150913e-05, 'S1x':4.5328171772287098e-03, 'S1y':-8.8436556062302368e-03, 'S1z':-1.3333661681351463e-02, 'S2x':4.5440660894218027e-03, 'S2y':-5.4750771872941412e-03, 'S2z':6.6660874254071897e-03,'Hreal':9.9528543282746162e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':2.0723640350775511e+01, 'y':9.2208264786169778e+00, 'z':9.3686016308740174e-04, 'p1':-9.1799381888979306e-02, 'p2':2.0561902831418791e-01, 'p3':-8.8125944321683228e-05, 'S1x':4.5495112225305530e-03, 'S1y':-8.8350310572619627e-03, 'S1z':-1.3333693551668541e-02, 'S2x':4.5627853917500245e-03, 'S2y':-5.4595695276089705e-03, 'S2z':6.6660196847189209e-03,'Hreal':9.9528508440590124e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':2.0061384151391827e+01, 'y':1.0580509471931183e+01, 'z':1.1939971999981171e-03, 'p1':-1.0530314732317192e-01, 'p2':1.9905463699306372e-01, 'p3':-8.7576489672302804e-05, 'S1x':4.5661962130284567e-03, 'S1y':-8.8263880168120302e-03, 'S1z':-1.3333714283623987e-02, 'S2x':4.5814515367388108e-03, 'S2y':-5.4439775676807722e-03, 'S2z':6.6659686808532527e-03,'Hreal':9.9528473583574339e-01}
